date	france	germany	italy	uk	us	canada	russia	brazil	south africa	mexico	oil
2001-08-15	1.076109634	0.434030391	1.515090878	0.442062005	-0.758010388	-0.480123371	-2.032172537	0.024165029	0.762978943	-1.315139531	-1.7074532
2001-08-16	-0.647123327	-1.251193045	-0.701761139	-1.058329263	0.333875819	0.75144718	-0.725069877	-0.342486545	0.370269946	-1.446557789	0
2001-08-17	-1.675054442	-1.95118255	-1.462911998	-0.859933124	-1.763485221	-1.582607774	-0.101125616	-4.320260048	-0.310391365	-4.051068629	-3.262023512
2001-08-20	-0.120569777	-0.695412893	-0.673289309	0.37037983	0.806402579	-0.034580197	0.546060504	-0.295439807	-0.872047979	-0.068099216	1.2856746
2001-08-21	0.925454898	0.174749112	0.471794965	1.697023987	-1.245185835	-1.107847482	0.257746783	-0.920973622	-0.31037339	0.899635716	1.741239086
2001-08-22	0.452074649	0.982337597	1.372103622	0.019781002	0.648181798	1.383946048	2.582070269	0.722827076	1.824756722	1.221309792	-0.59020435
2001-08-23	-0.810142079	-0.312962462	-0.448333018	-0.901293384	-0.304052137	0.103567915	0.962703044	-1.118994886	0.797962645	-0.661284895	1.020817659
2001-08-24	2.016096735	2.168656574	1.423395368	1.246687796	1.965474101	1.439063992	1.390165722	0.986721066	1.08992738	1.844450452	1.357925813
2001-08-28	-2.319105255	-1.591005119	-1.805790797	-0.532995455	-2.035746299	-0.923746096	3.028255592	-0.25508663	1.953982819	-1.585400256	1.984040663
2001-08-29	0.365824935	-0.093974396	0.853997538	-0.119201384	-1.222054812	-1.448095689	-2.555085279	0.918227788	0.036229449	0.429439463	0.226415191
2001-08-30	-2.890735487	-2.878565525	-1.718627479	-1.680608748	-1.79712464	-1.387606888	-1.196732671	-1.098967724	-1.213951494	-0.585045655	-1.6724069
2001-08-31	-0.1770454	0.363504399	-0.763358914	0.267146128	0.477607868	-0.420987895	0.214443255	-0.572134313	-0.377284179	-0.508941715	1.219062716
2001-09-04	-2.314814742	-1.759057034	-3.126525657	0.291553026	0.123111844	0.969964862	2.254933952	-0.886536194	-1.130873792	-1.93271764	-0.569585743
2001-09-05	-2.33790521	-3.240987305	-2.697663588	-0.718438579	0.005389316	-1.007497447	-0.725500973	0.279970299	-0.036548651	-2.153659449	0.228223758
2001-09-06	-1.406667826	-3.071418568	-2.851925806	-2.263248135	-2.323302921	-0.190820779	-0.435953866	-3.106051959	-1.213040933	-3.637701838	2.402517959
2001-09-07	0.027901562	-1.704564155	0.747012384	-1.786300401	-1.924451876	-1.010636637	-0.609053839	0.405772018	-0.982350725	-0.807412518	2.671705114
2001-09-10	-1.209337017	-1.937353773	-1.392208863	-1.020052846	0.793997399	-0.284867375	-0.942310949	-2.251432715	-1.298485786	-0.429357853	-0.870516923
2001-09-17	-5.908209257	-6.844661633	-9.566840811	-1.989288622	-5.224333654	-6.682620503	-8.71782036	-9.43340155	-9.682447248	-10.73639062	3.331850378
2001-09-18	-0.635677395	-0.649952778	-1.896515312	-1.307101115	-0.506532917	-1.436372387	1.636909565	0.341773269	-0.782611063	0.023875724	-3.989747487
2001-09-19	-1.409129239	-2.717731799	-1.484813121	-2.120439069	-1.572131591	-1.679421037	2.917950758	-0.695188223	0.094115371	0.341636634	-3.54580904
2001-09-20	-4.166965839	-6.134850995	-4.543097301	-3.473996803	-3.157546129	-2.706009887	-3.949067387	-4.113341384	-4.703200247	-4.228115742	-1.531423497
